n_corner,n_h_corner,n_contour,a_rect,a_hull,a_approx,l_perimeters,wide/length,perim/a_rect,perim/a_hull,perim/a_appx,corner/a_rect,corner/a_hull,corner/a_appx,corner/l_perim,h_corner/a_rect,h_corner/a_hull,h_corner/a_appx,h_corner/l_perim,extent,solidity,labels
53,901,3,20729.54524463974,14977.0,10152.5,789.4945094585419,3.3993290006917114,0.038085471733283194,0.05271379511641463,0.07776355670608637,0.002556737225757752,0.0035387594311277293,0.005220389066732332,0.06713156249351111,0.04346453283788178,0.060158910329171394,0.08874661413444965,1.1412365623896887,0.4897598997076523,0.6778727381985712,0
92,1582,3,65025.0,65025.0,48154.5,1847.192993760109,1.0,0.02840742781637999,0.02840742781637999,0.03835971703080935,0.0014148404459823146,0.0014148404459823146,0.0019105171894630824,0.04980529934380416,0.024329104190695887,0.024329104190695887,0.03285258906228909,0.8564346039336759,0.7405536332179931,0.7405536332179931,0
62,305,2,18142.0,14201.0,11280.5,561.2203433513641,0.48704663212435234,0.03093486624139368,0.039519776308102536,0.04975137124696282,0.003417484290596406,0.004365889726075629,0.005496210274367271,0.11047354347449867,0.01681181788115974,0.021477360749243012,0.027037808607774477,0.543458560640679,0.6217892183882703,0.7943454686289698,0
52,15,83,6807.69467020483,4847.5,1323.5,598.8670928478241,0.12490456685623992,0.08796914695203353,0.12354143225329017,0.4524874143164519,0.007638415428292912,0.01072717895822589,0.039289761994710994,0.08683061838098613,0.0022033890658537244,0.0030943785456420837,0.011333585190782017,0.025047293763746,0.19441236191049363,0.27302733367715315,0
54,1504,5,54314.98571777437,33316.0,25395.5,1076.6416971683502,1.1971831268429647,0.01982218503679038,0.032316055263787676,0.04239497931398674,0.0009942007585271022,0.0016208428382759035,0.002126360969463094,0.05015596195282434,0.027690332237495587,0.04514347460679553,0.059223090705046166,1.3969364217971816,0.4675597289476856,0.762261375915476,0
55,298,2,17072.899499084568,13419.0,10028.5,966.2396762371063,3.8631286733833496,0.05659493727406497,0.07200534139929252,0.09634937191375642,0.0032214797494092345,0.004098666070497056,0.0054843695467916434,0.0569216948471732,0.017454563005890034,0.02220731798196587,0.029715311362616542,0.30841209208104753,0.5873929030354638,0.7473358670541769,0
48,287,2,12629.0,9954.5,8011.5,457.0365778207779,0.42196531791907516,0.036189451090409205,0.045912559929758186,0.05704756635096772,0.0038007759917649854,0.004821939826209252,0.00599138738064033,0.10502441670833335,0.022725473117428143,0.02883118187754282,0.03582350371341197,0.6279584915685765,0.6343732678755246,0.804811894118238,0
100,1038,36,65025.0,65025.0,47715.5,1952.482316851616,1.0,0.03002664078203177,0.03002664078203177,0.040919246719653274,0.0015378700499807767,0.0015378700499807767,0.0020957550481499722,0.0512168530987007,0.01596309111880046,0.01596309111880046,0.02175393739979671,0.5316309351645132,0.7338023836985774,0.7338023836985774,0
39,1564,5,5170.904665657523,4774.0,4593.5,279.49747383594513,1.270044484810723,0.05405194872228509,0.058545763266850674,0.060846298864905876,0.0075422005474241,0.008169250104733976,0.008490257973223033,0.13953614487010207,0.302461580927469,0.32760787599497276,0.3404811146184826,5.595757194277939,0.8883358516562205,0.9621910347716799,0
29,52,2,7548.0,5859.0,4515.0,467.62236428260803,0.18137254901960784,0.06195314842111924,0.07981265818102203,0.10357084480234952,0.003842077371489136,0.004949650110940434,0.006423034330011074,0.062015853421573786,0.00688924218335983,0.008875234681686295,0.011517165005537098,0.11120084061799437,0.5981717011128775,0.7706093189964157,0
77,714,2,65025.0,65025.0,46599.0,1736.2468165159225,1.0,0.02670121978494306,0.02670121978494306,0.03725931493199259,0.001184159938485198,0.001184159938485198,0.0016523959741625357,0.044348533438646545,0.010980392156862745,0.010980392156862745,0.015322217214961695,0.4112318555219952,0.7166320645905421,0.7166320645905421,0
60,515,7,18685.5550377497,13311.0,10609.0,702.4823168516159,0.29553602577747845,0.03759493980416521,0.052774571170581916,0.0662156958103135,0.0032110365401929104,0.00450755014649538,0.005655575454802526,0.08541140262278472,0.027561396969989146,0.038689805424085344,0.04854368932038835,0.7331145391789022,0.5677647775817765,0.797009991736158,0
